host_ID,host_species,site,village,grid,season
2421,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2422,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2424,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2427,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2428,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2429,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2430,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2432,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2434,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2435,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2436,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2437,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2438,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2441,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,2
2444,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,2
2445,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,2
2451,Rattus rattus,Mandena_village,Mandena,village,2
2452,Rattus rattus,Mandena_village,Mandena,village,2
2453,Rattus rattus,Mandena_village,Mandena,village,2
2454,Rattus rattus,Mandena_village,Mandena,village,2
2456,Rattus rattus,Mandena_village,Mandena,village,2
2457,Rattus rattus,Mandena_village,Mandena,village,2
2458,Rattus rattus,Mandena_village,Mandena,village,2
2459,Rattus rattus,Mandena_village,Mandena,village,2
2460,Rattus rattus,Mandena_village,Mandena,village,2
2461,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2462,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2464,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2468,Rattus rattus,Mandena_village,Mandena,village,2
2469,Rattus rattus,Mandena_village,Mandena,village,2
2470,Rattus rattus,Mandena_village,Mandena,village,2
2471,Rattus rattus,Mandena_village,Mandena,village,2
2472,Rattus rattus,Mandena_village,Mandena,village,2
2474,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2475,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2478,Rattus rattus,Mandena_village,Mandena,village,2
2479,Rattus rattus,Mandena_village,Mandena,village,2
2481,Rattus rattus,Mandena_village,Mandena,village,2
2486,Rattus rattus,Mandena_village,Mandena,village,2
2487,Rattus rattus,Mandena_village,Mandena,village,2
2490,Rattus rattus,Mandena_village,Mandena,village,2
2491,Rattus rattus,Mandena_village,Mandena,village,2
2495,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2496,Rattus rattus,Mandena_agroforest,Mandena,agroforest,2
2497,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2498,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2499,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2500,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2501,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2502,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2503,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2504,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2505,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2506,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2507,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2508,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2509,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2510,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2511,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2512,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2513,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2514,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2515,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2516,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2517,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2518,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2522,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2523,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2524,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2525,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2526,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2527,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2528,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2529,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2530,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2535,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2536,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2537,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2539,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2540,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2541,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,3
2544,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,3
2548,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2549,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2550,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2552,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2553,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2554,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2555,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2556,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2557,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2558,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2564,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2565,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2566,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2567,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2568,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2569,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2570,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2571,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2572,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2573,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2574,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2577,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2578,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,3
2579,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,3
2581,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2582,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2583,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2584,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
2586,Rattus rattus,Mandena_agriculture,Mandena,agriculture,3
